epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.763,0.84308,2.42398,1.09796,0.55063,0.87527,0.66981,0.56331,0.43323,8.20367,0.56734,0.000660194,0.000660194,0.000660194
2,44.6615,0.9302,1.78934,1.11111,0.43365,0.4898,0.4722,0.38099,0.564,22.0698,0.63417,0.00130059,0.00130059,0.00130059
3,59.7715,0.98043,1.62616,1.14206,0.4665,0.5102,0.50875,0.36434,0.7902,5.56194,0.7416,0.00191458,0.00191458,0.00191458
4,74.7573,0.99883,1.78901,1.16058,0.66048,0.85714,0.74046,0.60782,0.53819,13.4465,0.6356,0.0018812,0.0018812,0.0018812
5,89.7559,0.95669,1.46513,1.15561,0.65663,0.81633,0.70254,0.47922,0.65772,6.31629,0.64292,0.0018416,0.0018416,0.0018416
6,104.769,0.93275,1.3696,1.122,0.54454,0.95918,0.63107,0.50648,0.46687,10.0398,0.55517,0.001802,0.001802,0.001802
7,119.66,0.88753,1.90084,1.091,0.55902,0.91837,0.6486,0.54424,0.44086,8.64796,0.53708,0.0017624,0.0017624,0.0017624
8,134.6,0.9252,1.32825,1.11418,0.63409,0.89796,0.76695,0.63388,0.46484,7.04898,0.56803,0.0017228,0.0017228,0.0017228
9,149.571,0.87164,1.24692,1.10737,0.6323,0.85983,0.71011,0.61591,0.4016,4.82788,0.54214,0.0016832,0.0016832,0.0016832
10,164.496,0.93255,1.26746,1.1416,0.61449,0.92713,0.78974,0.66513,0.44354,5.36705,0.55651,0.0016436,0.0016436,0.0016436
11,179.671,0.8342,1.21531,1.0881,0.66549,0.90816,0.74365,0.64972,0.43001,7.82703,0.54597,0.001604,0.001604,0.001604
12,194.928,0.84044,1.19556,1.07978,0.62697,0.92857,0.71555,0.62396,0.40002,4.73251,0.54493,0.0015644,0.0015644,0.0015644
13,210.042,0.80918,1.12371,1.06127,0.66813,0.90391,0.74037,0.62722,0.44797,6.61417,0.54106,0.0015248,0.0015248,0.0015248
14,225.015,0.74828,1.02893,1.06069,0.772,0.78571,0.81196,0.70425,0.42154,4.04691,0.5663,0.0014852,0.0014852,0.0014852
15,240.159,0.75395,1.0448,1.03996,0.7291,0.84694,0.81042,0.73771,0.32033,5.62098,0.4942,0.0014456,0.0014456,0.0014456
16,255.442,0.70733,0.92142,1.02467,0.79672,0.79987,0.85246,0.76636,0.33885,4.90311,0.49959,0.001406,0.001406,0.001406
17,270.383,0.70926,0.99185,1.02908,0.73987,0.8997,0.86724,0.77401,0.36534,6.12702,0.52437,0.0013664,0.0013664,0.0013664
18,285.388,0.72933,0.97404,1.0469,0.72911,0.94898,0.86305,0.75735,0.33163,2.70371,0.5046,0.0013268,0.0013268,0.0013268
19,300.345,0.68883,0.93628,1.01968,0.78001,0.83673,0.86795,0.78799,0.32651,3.77798,0.50528,0.0012872,0.0012872,0.0012872
20,315.271,0.70275,1.01079,1.0377,0.84432,0.7748,0.88414,0.77754,0.34915,4.01625,0.52154,0.0012476,0.0012476,0.0012476
21,330.244,0.65719,0.88689,0.99424,0.78752,0.94898,0.88475,0.78784,0.33501,6.40484,0.49871,0.001208,0.001208,0.001208
22,345.248,0.67165,0.92525,1.02039,0.80562,0.87755,0.88643,0.81525,0.29737,7.50892,0.49125,0.0011684,0.0011684,0.0011684
23,360.219,0.65214,0.81629,1.00374,0.83437,0.87388,0.88416,0.81302,0.29015,3.49653,0.48213,0.0011288,0.0011288,0.0011288
24,375.22,0.63855,0.99943,1.0021,0.77721,0.87755,0.89175,0.81599,0.29023,5.29948,0.49574,0.0010892,0.0010892,0.0010892
25,390.22,0.60192,0.85778,0.99176,0.74948,0.88532,0.87245,0.7864,0.30222,2.73299,0.50276,0.0010496,0.0010496,0.0010496
26,405.174,0.61615,0.91875,0.99111,0.7656,0.9332,0.90481,0.8376,0.30685,4.17745,0.50038,0.00101,0.00101,0.00101
27,420.159,0.58646,0.78713,0.97679,0.846,0.89691,0.94087,0.85535,0.31644,4.7566,0.50147,0.0009704,0.0009704,0.0009704
28,435.129,0.60208,0.84866,1.00046,0.83917,0.87755,0.92514,0.8426,0.30688,3.11322,0.50133,0.0009308,0.0009308,0.0009308
29,450.118,0.61303,0.82845,0.99814,0.83854,0.93878,0.94461,0.85952,0.30814,2.58724,0.50022,0.0008912,0.0008912,0.0008912
30,465.123,0.60769,0.87651,0.99556,0.87409,0.9209,0.92475,0.8374,0.32625,1.6857,0.50016,0.0008516,0.0008516,0.0008516
31,480.092,0.60991,0.79569,0.99713,0.84247,0.9277,0.93516,0.8689,0.26682,1.74253,0.47759,0.000812,0.000812,0.000812
32,495.03,0.5701,0.7927,0.97369,0.81657,0.9085,0.87286,0.80971,0.29273,2.53099,0.48869,0.0007724,0.0007724,0.0007724
33,509.985,0.58664,0.77562,0.99214,0.86359,0.89796,0.94068,0.86513,0.29837,2.08862,0.49223,0.0007328,0.0007328,0.0007328
34,524.972,0.55191,0.72616,0.96645,0.87282,0.91041,0.94251,0.88459,0.27318,5.51822,0.49288,0.0006932,0.0006932,0.0006932
35,539.974,0.56615,0.76476,0.97357,0.87966,0.93878,0.9374,0.88267,0.26288,3.15463,0.48966,0.0006536,0.0006536,0.0006536
36,554.883,0.55935,0.71803,0.97229,0.88194,0.95918,0.95849,0.89012,0.25561,3.9184,0.47678,0.000614,0.000614,0.000614
37,569.87,0.5371,0.73027,0.96572,0.87416,0.96939,0.95076,0.89632,0.25825,3.83308,0.47404,0.0005744,0.0005744,0.0005744
38,584.78,0.58009,0.78606,0.98228,0.90137,0.93262,0.96335,0.9037,0.26093,3.25594,0.48018,0.0005348,0.0005348,0.0005348
39,599.719,0.5326,0.7124,0.96471,0.86386,0.97126,0.97408,0.91382,0.26827,2.93325,0.49213,0.0004952,0.0004952,0.0004952
40,614.644,0.53098,0.68221,0.96131,0.88703,0.96149,0.97213,0.92724,0.24585,3.11729,0.47324,0.0004556,0.0004556,0.0004556
41,681.519,0.38231,0.74815,0.84687,0.89728,0.89139,0.96129,0.90402,0.24566,2.69259,0.47094,0.000416,0.000416,0.000416
42,696.411,0.38989,0.51872,0.82873,0.90614,0.92857,0.96527,0.92324,0.24363,2.49755,0.47344,0.0003764,0.0003764,0.0003764
43,711.242,0.35619,0.86093,0.8187,0.90957,0.9237,0.9619,0.90993,0.25217,1.13919,0.47905,0.0003368,0.0003368,0.0003368
44,726.042,0.36922,0.52402,0.86285,0.8763,0.95918,0.95658,0.91032,0.26811,1.58058,0.4816,0.0002972,0.0002972,0.0002972
45,740.826,0.33332,0.65952,0.82446,0.95341,0.88776,0.97958,0.92348,0.25216,1.98627,0.48628,0.0002576,0.0002576,0.0002576
46,755.564,0.32228,0.44732,0.83065,0.91705,0.94898,0.97981,0.9275,0.25379,1.65593,0.48838,0.000218,0.000218,0.000218
47,770.287,0.33246,0.5774,0.81922,0.87902,0.9898,0.97857,0.92555,0.24511,1.49011,0.49132,0.0001784,0.0001784,0.0001784
48,785.087,0.32193,0.48105,0.8441,0.88005,0.97959,0.9762,0.92273,0.24194,1.31803,0.48634,0.0001388,0.0001388,0.0001388
49,799.856,0.3122,0.38506,0.82721,0.90527,0.9752,0.97892,0.93353,0.24019,1.867,0.48542,9.92e-05,9.92e-05,9.92e-05
50,814.625,0.29859,0.49493,0.81561,0.90472,0.96891,0.97857,0.92656,0.23912,1.44084,0.48487,5.96e-05,5.96e-05,5.96e-05
